Date,Time Slot,Accelerator,Battlestar Galactica: CYLON,Battlestar Galactica: HUMAN,Canopy Flyer,Dino-Soarin,Enchanted Airways,Jurassic Park Rapids Adventure,"Lights, Camera, Action! Hosted by Steven Spielberg",Magic Potion Spin,Puss In Boots’ Giant Journey,Revenge of the Mummy,Shrek 4-D Adventure,TRANSFORMERS The Ride: The Ultimate 3D Battle,Treasure Hunters
2023-01-07,11:00:00,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,5.0,2.0
2023-01-07,11:30:00,3.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0
2023-01-07,12:00:00,3.0,4.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0
2023-01-07,12:30:00,3.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0
2023-01-07,13:00:00,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,4.0
2023-01-07,13:30:00,3.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,4.0
2023-01-07,14:00:00,3.0,2.0,2.0,3.0,4.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0
2023-01-07,14:30:00,3.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0
2023-01-07,15:00:00,3.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0
2023-01-07,15:30:00,3.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0
2023-01-07,16:00:00,3.0,4.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0
2023-01-07,16:30:00,3.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0
2023-01-07,17:00:00,3.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0
2023-01-08,10:00:00,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
2023-01-08,10:30:00,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
2023-01-08,11:00:00,5.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0
2023-01-08,11:30:00,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,5.0,2.0
2023-01-08,12:00:00,3.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0
2023-01-08,12:30:00,3.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0
2023-01-08,13:00:00,3.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0
2023-01-08,13:30:00,3.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0
2023-01-08,14:00:00,3.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0
2023-01-08,14:30:00,3.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0
2023-01-08,15:00:00,3.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0
2023-01-08,15:30:00,3.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0
2023-01-08,16:00:00,3.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0
2023-01-08,16:30:00,3.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0
